dia,t_med,t_max,hi_med,hi_max,num_hr_32,num_hr_33,num_hr_34,num_hr_35,num_hr_36,num_hr_37,num_hr_38,num_hr_39,num_hr_40,num_hr_41,num_hr_42,num_hr_43,num_hr_44,auc32,auc36
2015-04-13,24.292187472184498,28.125,24.891781268252643,29.443843645966425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-14,24.911458404858905,29.3,25.423150342854424,30.473596587143405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-15,25.955208365122477,31,26.894943635791236,32.57293146354333,3,0,0,0,0,0,0,0,0,0,0,0,0,0.9024800665793669,0
2015-04-16,25.713020849227906,28.824999809265137,27.018753776904962,30.67317608317967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-17,25.241145845254266,28.6,26.483879782854757,30.307901874165097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-18,26.377604242165884,32,27.966189179169046,33.48907020159118,6,3,0,0,0,0,0,0,0,0,0,0,0,6.584370294238868,0
2015-04-19,25.91458338101705,28.52500009536743,27.763489623358605,31.665077619428047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-20,26.934375085433327,31.34999942779541,29.281637548883296,35.43530967080014,7,6,4,2,0,0,0,0,0,0,0,0,0,14.968637858925662,0
2015-04-21,27.35833329955737,32.75,29.467076812900533,36.38882109843932,6,5,4,3,1,0,0,0,0,0,0,0,0,15.803170416203413,0.38687719130499654
2015-04-22,23.622395873069763,25,24.352514568125756,25.71951388888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-23,24.079166636864343,27,24.90879411104021,28.89269560100891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-24,25.56041669448217,30.3,26.570844696956105,32.23380174438417,1,0,0,0,0,0,0,0,0,0,0,0,0,0.23263285493667893,0
2015-04-25,24.62447926600774,27.000000476837158,25.27427567393389,27.837617683337022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-26,22.724999924500782,25,23.28110811487392,25.4047923485438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-27,23.180208398898444,26.800000190734863,23.70793395653961,28.593993867615055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-28,24.26666670838992,28.125000476837158,24.80861083888831,29.293065687374238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-29,23.613020900885264,26.325000762939453,24.15566970405071,26.906812746272387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-30,20.51099997329712,22.7,20.884254237847557,22.73888878398472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-01,21.946875037749606,25.575000762939453,22.27964705630585,25.849583752950025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-02,23.16979167461395,27.200000286102295,23.720775143953052,28.07408308782454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-03,25.459895753860476,31,26.217003360843737,32.251077779804874,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2533577433190694,0
2015-05-04,26.456249978144967,32.2,27.245483085351253,33.14369699843154,3,2,0,0,0,0,0,0,0,0,0,0,0,2.997476999236227,0
2015-05-05,23.102604150772095,25.18750023841858,23.601111106740102,25.644861635631987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-06,21.428645759820938,24,21.97439124361969,24.28333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-07,22.29375,25.199999809265137,22.771111001835923,25.3618053457472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-08,20.742187345027926,22.1,21.102346442452184,22.407777777777763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-09,21.680208287636436,27.5,22.159696986420013,27.202729877067906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-10,22.784374984105426,28.725,23.418723532078705,28.66177721255776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-11,23.642708392937976,27.96250009536743,24.34972995766402,29.563108139004527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
